Name,Fantasy,NameASCII,PlayerId,MLBAMID
Colson Montgomery,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40262"">The Big Lu</a>",Colson Montgomery,29712,695657
Jonathan Aranda,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33217"">Continenta</a>",Jonathan Aranda,21837,666018
Luke Raley,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=32655"">Continenta</a>",Luke Raley,19354,670042
William Contreras,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=22391"">Hit the Kw</a>",William Contreras,20503,661388
Chase DeLauter,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42176"">Continenta</a>",Chase DeLauter,32127,800050
Dillon Dingler,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38308"">The Sandma</a>",Dillon Dingler,27464,693307
Cam Smith,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=45714"">Hit the Kw</a>",Cam Smith,35108,701358
Ramón Laureano,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=21200"">Apple Cinn</a>",Ramon Laureano,17128,657656
Maikel Garcia,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26154"">Apple Cinn</a>",Maikel Garcia,22715,672580
Ozzie Albies,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18397"">Continenta</a>",Ozzie Albies,16556,645277
Brendan Donovan,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=34619"">Logan &amp</a>",Brendan Donovan,24679,680977
Ildemaro Vargas,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=16191"">Free Agent</a>",Ildemaro Vargas,13324,545121
Wilyer Abreu,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=27058"">Continenta</a>",Wilyer Abreu,23772,677800
Dalton Rushing,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42193"">Even Baked</a>",Dalton Rushing,31382,687221
Oswald Peraza,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26213"">Free Agent</a>",Oswald Peraza,22823,672724
Mauricio Dubón,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=19649"">Continenta</a>",Mauricio Dubon,16530,643289
Iván Herrera,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26099"">Apple Cinn</a>",Ivan Herrera,20599,671056
Riley Greene,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36509"">The Sandma</a>",Riley Greene,25976,682985
Jorge Soler,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18162"">The Big Lu</a>",Jorge Soler,14221,624585
Hunter Goodman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40389"">Continenta</a>",Hunter Goodman,29715,696100
Corey Seager,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18216"">NTX Gambit</a>",Corey Seager,13624,608369
Tyler Soderstrom,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38388"">Mirkwood S</a>",Tyler Soderstrom,27467,691016
Brayan Rocchio,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33650"">Free Agent</a>",Brayan Rocchio,23690,677587
Gary Sánchez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=14078"">Free Agent</a>",Gary Sanchez,11442,596142
Carlos Correa,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18160"">Even Baked</a>",Carlos Correa,14162,621043
Josh Bell,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18152"">The Sandma</a>",Josh Bell,13145,605137
Jeremiah Jackson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=35299"">The Sandma</a>",Jeremiah Jackson,22239,669236
Daylen Lile,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40714"">Apple Cinn</a>",Daylen Lile,29995,695734
Dansby Swanson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18506"">Smoking He</a>",Dansby Swanson,18314,621020
Ronald Acuña Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23327"">Even Baked</a>",Ronald Acuna Jr.,18401,660670
Josh Jung,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37786"">Naylor? I </a>",Josh Jung,26299,673962
Michael Harris II,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37295"">NTX Gambit</a>",Michael Harris II,25931,671739
Miguel Vargas,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=34804"">Continenta</a>",Miguel Vargas,20178,678246
Jo Adell,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23792"">Hit the Kw</a>",Jo Adell,20220,666176
Jake Burger,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23809"">NTX Gambit</a>",Jake Burger,22275,669394
Kyle Tucker,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18546"">Naylor? I </a>",Kyle Tucker,18345,663656
Teoscar Hernández,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23651"">Even Baked</a>",Teoscar Hernandez,13066,606192
Mickey Moniak,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23639"">Smoking He</a>",Mickey Moniak,19956,666160
Austin Riley,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=22674"">NTX Gambit</a>",Austin Riley,18360,663586
Carter Jensen,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40505"">Apple Cinn</a>",Carter Jensen,29478,695600
Max Muncy,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40460"">Apple Cinn</a>",Max Muncy,29779,691777
Garrett Mitchell,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38325"">The Sandma</a>",Garrett Mitchell,27555,669003
Willy Adames,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18407"">NTX Gambit</a>",Willy Adames,15986,642715
Xander Bogaerts,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=13117"">Hit the Kw</a>",Xander Bogaerts,12161,593428
Carson Kelly,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23714"">Free Agent</a>",Carson Kelly,13620,608348
Chandler Simpson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42416"">Hit the Kw</a>",Chandler Simpson,31912,802415
Byron Buxton,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18163"">NTX Gambit</a>",Byron Buxton,14161,621439
Troy Johnston,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37458"">Free Agent</a>",Troy Johnston,26143,687859
Ernie Clement,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=31958"">Hit the Kw</a>",Ernie Clement,20352,676391
Casey Schmitt,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38383"">Free Agent</a>",Casey Schmitt,27577,669477
Dominic Smith,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18300"">Free Agent</a>",Dominic Smith,15653,642086
Gleyber Torres,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18487"">Naylor? I </a>",Gleyber Torres,16997,650402
Alex Bregman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18480"">H-Town Ram</a>",Alex Bregman,17678,608324
Daulton Varsho,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23833"">H-Town Ram</a>",Daulton Varsho,19918,662139
Jake Bauers,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18522"">Free Agent</a>",Jake Bauers,15194,641343
Matt Chapman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18378"">Mirkwood S</a>",Matt Chapman,16505,656305
Pete Alonso,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23859"">H-Town Ram</a>",Pete Alonso,19251,624413
Roman Anthony,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42409"">Logan &amp</a>",Roman Anthony,31812,701350
Masyn Winn,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38404"">Apple Cinn</a>",Masyn Winn,27479,691026
Andrés Giménez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23705"">Free Agent</a>",Andres Gimenez,19950,665926
Angel Martínez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36046"">Free Agent</a>",Angel Martinez,26540,682657
Daniel Schneemann,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=34843"">Free Agent</a>",Daniel Schneemann,25180,682177
Fernando Tatis Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23682"">The Sandma</a>",Fernando Tatis Jr.,19709,665487
Moisés Ballesteros,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=39285"">The Sandma</a>",Moises Ballesteros,28820,694208
Jeff McNeil,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18644"">Logan &amp</a>",Jeff McNeil,15362,643446
Austin Martin,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38323"">Free Agent</a>",Austin Martin,27462,668885
Eugenio Suárez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=9668"">Continenta</a>",Eugenio Suarez,12552,553993
Francisco Alvarez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37427"">Logan &amp</a>",Francisco Alvarez,26121,682626
Cole Young,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42582"">Even Baked</a>",Cole Young,31680,702284
Connor Norby,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40284"">Free Agent</a>",Connor Norby,29592,681393
Giancarlo Stanton,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=5201"">Hit the Kw</a>",Giancarlo Stanton,4949,519317
Luis Arraez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=20545"">Even Baked</a>",Luis Arraez,18568,650333
Leody Taveras,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23690"">Free Agent</a>",Leody Taveras,18900,665750
Chase Meidroth,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42304"">Logan &amp</a>",Chase Meidroth,31580,805367
Jackson Merrill,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40142"">Mirkwood S</a>",Jackson Merrill,29490,701538
Julio Rodríguez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33625"">Smoking He</a>",Julio Rodriguez,23697,677594
Ryan Jeffers,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33652"">The Big Lu</a>",Ryan Jeffers,24618,680777
Trea Turner,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18368"">H-Town Ram</a>",Trea Turner,16252,607208
Spencer Steer,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37216"">Free Agent</a>",Spencer Steer,26323,668715
Francisco Lindor,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18122"">Mirkwood S</a>",Francisco Lindor,12916,596019
Joey Wiemer,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38424"">Free Agent</a>",Joey Wiemer,27690,686894
Geraldo Perdomo,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26198"">Mirkwood S</a>",Geraldo Perdomo,22799,672695
TJ Rumfield,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40496"">Free Agent</a>",TJ Rumfield,29805,681198
Ketel Marte,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18466"">Even Baked</a>",Ketel Marte,13613,606466
Jacob Wilson,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=44003"">Naylor? I </a>",Jacob Wilson,33266,805779
Kerry Carpenter,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37300"">Hit the Kw</a>",Kerry Carpenter,25961,681481
Dominic Canzone,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37536"">Even Baked</a>",Dominic Canzone,26438,686527
Will Smith,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23654"">H-Town Ram</a>",Will Smith,19197,669257
Jakob Marsee,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42169"">Naylor? I </a>",Jakob Marsee,31370,805300
Luis Robert Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23780"">Hit the Kw</a>",Luis Robert Jr.,20043,673357
Carlos Cortes,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=35541"">Even Baked</a>",Carlos Cortes,21842,666126
Isaac Paredes,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23831"">H-Town Ram</a>",Isaac Paredes,20036,670623
Evan Carter,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38389"">NTX Gambit</a>",Evan Carter,27790,694497
Brandon Marsh,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23868"">Logan &amp</a>",Brandon Marsh,20202,669016
Jung Hoo Lee,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=44524"">NTX Gambit</a>",Jung Hoo Lee,33824,808982
Spencer Horwitz,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37091"">Free Agent</a>",Spencer Horwitz,26477,687462
Cal Raleigh,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33654"">NTX Gambit</a>",Cal Raleigh,21534,663728
Heliot Ramos,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23834"">Mirkwood S</a>",Heliot Ramos,22515,671218
Kyle Isbel,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33686"">Free Agent</a>",Kyle Isbel,21614,664728
Justin Crawford,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42428"">NTX Gambit</a>",Justin Crawford,31791,702222
Jesús Sánchez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=22331"">Smoking He</a>",Jesus Sanchez,19913,660821
Yoán Moncada,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18425"">Free Agent</a>",Yoan Moncada,17232,660162
Brady House,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40261"">The Sandma</a>",Brady House,29993,691781
Agustín Ramírez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=36325"">Continenta</a>",Agustin Ramirez,26546,682663
Christian Yelich,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=14893"">The Big Lu</a>",Christian Yelich,11477,592885
Ceddanne Rafaela,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33907"">Smoking He</a>",Ceddanne Rafaela,24262,678882
Adolis García,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23745"">Even Baked</a>",Adolis Garcia,19287,666969
Gavin Sheets,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=31572"">The Big Lu</a>",Gavin Sheets,19901,657757
Colt Keith,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38374"">The Sandma</a>",Colt Keith,27899,690993
Steven Kwan,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=35824"">NTX Gambit</a>",Steven Kwan,24610,680757
Nolan Schanuel,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=43932"">The Sandma</a>",Nolan Schanuel,33189,694384
Jac Caglianone,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=45720"">Apple Cinn</a>",Jac Caglianone,35041,695506
Christian Vázquez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=5723"">Free Agent</a>",Christian Vazquez,9774,543877
José Caballero,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=26915"">Free Agent</a>",Jose Caballero,23401,676609
Matt McLain,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40371"">Mirkwood S</a>",Matt McLain,29695,680574
Trent Grisham,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18547"">Logan &amp</a>",Trent Grisham,18564,663757
Everson Pereira,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33662"">Free Agent</a>",Everson Pereira,23695,677592
Nick Fortes,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=34653"">Free Agent</a>",Nick Fortes,21538,663743
Manny Machado,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=14934"">Even Baked</a>",Manny Machado,11493,592518
Jacob Young,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40641"">Free Agent</a>",Jacob Young,29931,696285
Matt Shaw,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=43966"">Even Baked</a>",Matt Shaw,33322,807713
Wyatt Langford,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=43896"">Apple Cinn</a>",Wyatt Langford,33333,694671
Victor Caratini,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=19285"">Free Agent</a>",Victor Caratini,14968,605170
Trevor Larnach,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33622"">H-Town Ram</a>",Trevor Larnach,21501,663616
Kazuma Okamoto,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=48239"">The Sandma</a>",Kazuma Okamoto,37123,672960
Luis García Jr.,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33548"">Free Agent</a>",Luis Garcia Jr.,20391,671277
Rhys Hoskins,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=20350"">Free Agent</a>",Rhys Hoskins,16472,656555
Adley Rutschman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37257"">Mirkwood S</a>",Adley Rutschman,26288,668939
Ezequiel Tovar,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=35628"">Even Baked</a>",Ezequiel Tovar,24064,678662
Kyle Karros,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=44012"">Free Agent</a>",Kyle Karros,33252,691720
Ezequiel Duran,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=27162"">NTX Gambit</a>",Ezequiel Duran,23733,677649
Jose Fernandez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38854"">Free Agent</a>",Jose Fernandez,28020,699912
Jonny DeLuca,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37916"">Free Agent</a>",Jonny DeLuca,26365,676356
Amed Rosario,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18303"">Free Agent</a>",Amed Rosario,15518,642708
Luke Keaschall,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=44057"">The Sandma</a>",Luke Keaschall,33321,807712
Owen Caissie,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38367"">H-Town Ram</a>",Owen Caissie,27496,683357
Javier Báez,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18123"">Free Agent</a>",Javier Baez,12979,595879
Curtis Mead,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=35725"">Free Agent</a>",Curtis Mead,23986,678554
Marcus Semien,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18263"">H-Town Ram</a>",Marcus Semien,12533,543760
Matt Wallner,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37174"">Smoking He</a>",Matt Wallner,26466,670242
Rafael Devers,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=18344"">Mirkwood S</a>",Rafael Devers,17350,646240
Richie Palacios,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33635"">Free Agent</a>",Richie Palacios,24589,680700
Masataka Yoshida,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=42722"">Free Agent</a>",Masataka Yoshida,31837,807799
Pete Crow-Armstrong,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38327"">Apple Cinn</a>",Pete Crow-Armstrong,27769,691718
Edouard Julien,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38350"">Free Agent</a>",Edouard Julien,27534,666397
Miguel Andujar,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=23720"">Free Agent</a>",Miguel Andujar,15878,609280
Jorbit Vivas,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33837"">Free Agent</a>",Jorbit Vivas,23917,678391
Nick Yorke,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=38436"">Free Agent</a>",Nick Yorke,27504,694377
Lawrence Butler,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=34788"">Continenta</a>",Lawrence Butler,22542,671732
Hyeseong Kim,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=46089"">NTX Gambit</a>",Hyeseong Kim,35322,808975
Nolan Gorman,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33623"">The Big Lu</a>",Nolan Gorman,22263,669357
Jorge Barrosa,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=33850"">Free Agent</a>",Jorge Barrosa,23968,678489
Javier Sanoja,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=39140"">Free Agent</a>",Javier Sanoja,28253,691594
J.T. Realmuto,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=14864"">Mirkwood S</a>",J.T. Realmuto,11739,592663
Joey Loperfido,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=40301"">Free Agent</a>",Joey Loperfido,29630,694388
Jake Mangum,"<a href=""http://ottoneu.fangraphs.com/1762/playercard?id=37660"">Free Agent</a>",Jake Mangum,26202,663968
